Listing Title,Airbnb URL,Listing ID,Estimated Rental Revenue (Range),Estimated Rental Revenue (Median),Estimated ADR,Estimated Adjusted Occupancy,Active days,Booking Window,Length of Stay,Dynamic Pricing,Min Stay,Professionally Managed,Bathrooms,Max Guests,Listed Price,Listing Type,Is Active,Economic Category,Blocked Days,Rating,Reviews,Beachfront,Hot Tub,EV Charger,Kitchen,Pool,Pets Allowed,Smoking Allowed,Air Conditioning,Cleaning Fee,Guest Favorite,Host ID,Cancellation Policy
"2 BR Condo Steps From Toronto's Best Attractions!","https://www.airbnb.com/rooms/1305991874068904371","1305991874068904371","32422-38140","35585","259.74","91","150","48","3","Moderate","1","Small","1.0","6","222","Entire rental unit","No","Midscale","9","4.96","46","No","No","No","Yes","No","No","No","No","N/A","1","548860794","Firm"
"Stylish Urban Retreat: 2 Bedroom 2 Bath Suite","https://www.airbnb.com/rooms/26569660","26569660","29111-41811","35657","107.4","93","358","92","33","High","28","Individual","2.0","4","125","Entire rental unit","Yes","Midscale","8","4.85","41","No","No","No","Yes","No","No","No","Yes","143.0","0","199790529","Limited"
"Epic View - 2BR Toronto Core | FREE Parking","https://www.airbnb.com/rooms/1465596205717033309","1465596205717033309","32670-39294","35912","225.86","90","176","55","6","Low","1","Individual","2.0","4","222","Entire rental unit","Yes","Midscale","18","4.93","44","No","No","No","Yes","No","No","No","Yes","86.0","1","707426999","Moderate"
"Downtown Toronto 1+1 By UofT, Yorkville & Subway","https://www.airbnb.com/rooms/1267530582923837965","1267530582923837965","32544-40140","36097","209.87","78","220","54","11","Low","1","Individual","1.0","3","246","Entire rental unit","Yes","Midscale","146","4.94","34","No","No","No","Yes","Yes","No","No","Yes","53.0","1","17548918","Flexible"
"Spacious Townhouse","https://www.airbnb.com/rooms/1297083789153957360","1297083789153957360","29785-42777","36847","290.13","56","226","5","2","None","28","Individual","3.5","2","390","Entire home","Yes","Midscale","140","5","1","No","No","No","Yes","No","No","No","Yes","215.0","0","39972701","Firm"
"Luxury 2+2 Unit Heart Of Downtown W/ Stunning View","https://www.airbnb.com/rooms/866034313917728466","866034313917728466","29900-43149","37147","188.56","64","306","16","15","None","28","Small","2.0","4","252","Entire condo","Yes","Midscale","60","5","4","No","No","No","Yes","Yes","Yes","No","Yes","108.0","0","54333181","Firm"
"Modern 2BR/2BA Condo | Heart Of Downtown–Luxe Stay","https://www.airbnb.com/rooms/1419683205383685113","1419683205383685113","33213-41167","37664","362.15","50","208","29","4","High","28","Individual","2.0","5","312","Entire rental unit","Yes","Upscale","43","4.89","38","No","Yes","No","Yes","Yes","No","No","Yes","71.0","1","57973505","Moderate"
"Central 2 Bedroom Condo Near Shangri-la Hotel","https://www.airbnb.com/rooms/1257587534365350076","1257587534365350076","33793-42207","37910","344.64","49","225","16","5","None","2","Individual","2.0","4","377","Entire rental unit","Yes","Upscale","140","4.9","39","No","No","No","Yes","No","No","No","Yes","154.0","1","478461720","Moderate"
"King St Vibes: 2BR Stay & Work","https://www.airbnb.com/rooms/984766271944726381","984766271944726381","29568-44986","38058","177.01","72","297","5","27","None","28","Small","1.0","4","259","Entire rental unit","Yes","Midscale","69","5","6","No","No","No","Yes","No","No","No","Yes","107.0","1","41483265","Firm"
"Dec Deal/Rogers Center/CN Tower/Shopping","https://www.airbnb.com/rooms/1428633910482420600","1428633910482420600","33914-42032","38470","310.24","73","169","25","4","None","2","Moderate","1.0","4","277","Entire condo","Yes","Upscale","47","4.88","25","No","No","No","Yes","No","No","No","Yes","106.0","1","79337978","Firm"
"Location & Style 2 BDRM~Gym/Parking/Cable TV","https://www.airbnb.com/rooms/51844409","51844409","32771-43853","39227","388.39","39","260","30","4","Low","2","Large","1.0","4","388","Entire condo","Yes","Upscale","40","4.89","74","No","No","No","Yes","No","Yes","No","Yes","72.0","1","846505","Flexible"
